Participant,Mean_Deviant,SD_Deviant,Med_Deviant,ACC,Hit,FA,Coeff_Var
2,493.25268408831425,104.03851414798305,500.03814697265625,0.9495548961424333,0.8095238095238095,0.030508474576271188,0.2109233614010208
3,451.43153629605735,126.04104600141878,451.8460750579834,0.9287833827893175,0.75,0.04576271186440678,0.2792030150032732
5,506.9926425202252,98.8014706896924,517.0729160308838,0.9629080118694362,0.8690476190476191,0.023728813559322035,0.1948775236629809
7,523.1768090674218,97.60155529048969,543.8251495361328,0.884272997032641,0.5595238095238095,0.06949152542372881,0.18655558426694668
8,438.5145652584913,103.16497998256544,432.3805093765259,0.9896142433234422,0.9761904761904762,0.00847457627118644,0.23526009887893404
9,482.6018363237381,96.70820163269705,500.0333786010742,0.9391691394658753,0.7619047619047619,0.03559322033898305,0.20038921187988068
10,516.1681118658033,99.10062678840862,525.831937789917,0.9183976261127597,0.7023809523809523,0.05084745762711865,0.19199292732398282
12,457.8099959426456,103.61925443397767,451.6394853591919,0.9629080118694362,0.8571428571428571,0.022033898305084745,0.22633681079990897
14,472.2831319173177,90.74741587268491,462.92991638183594,0.9688427299703264,0.8928571428571429,0.020338983050847456,0.19214621429370043
17,404.32205953096087,135.75567236666868,392.608118057251,0.9154302670623146,0.6785714285714286,0.05084745762711865,0.3357612308468992
18,487.82587992517574,75.52593470628037,488.6544466018677,0.973293768545994,0.9047619047619048,0.01694915254237288,0.15482150048674082
19,479.6483698345366,88.4827748613119,486.6380214691162,1.0,1.0,0.0,0.18447425327815797
20,547.5916297347458,114.55588718894805,557.6479434967041,0.8115727002967359,0.32142857142857145,0.11864406779661017,0.20919948547138878
21,476.7055670420329,114.98288684932733,476.1044502258301,0.9673590504451038,0.8571428571428571,0.01694915254237288,0.24120315515255744
22,499.894928250994,88.426706142994,507.5385570526123,0.9510385756676558,0.8333333333333334,0.03220338983050847,0.1768905846922206
23,447.8954386066746,107.26550011278323,460.11693477630615,0.9629080118694362,0.8809523809523809,0.025423728813559324,0.2394878153849204
24,445.66456854343414,94.14075319894417,440.74697494506836,0.9896142433234422,0.9523809523809523,0.005084745762711864,0.21123679072497162
25,461.06968046743657,107.33378112389545,485.83312034606934,0.9821958456973294,0.9404761904761905,0.011864406779661017,0.2327929718021786
26,489.2560742696126,99.2614267704154,488.8669967651367,0.9688427299703264,0.8928571428571429,0.020338983050847456,0.20288235954678357
27,540.6611442565918,91.96416266395096,552.4539947509766,0.8827893175074184,0.5952380952380952,0.07627118644067797,0.17009574969623817
28,490.024863259267,121.05215985079957,500.0340938568115,0.9198813056379822,0.7023809523809523,0.04915254237288136,0.24703268941427597
29,454.33709428117083,102.23268675972302,449.24755096435547,0.9584569732937686,0.8809523809523809,0.030508474576271188,0.2250150561038174
30,500.37574445879136,82.29048958243375,500.0331401824951,0.9673590504451038,0.8809523809523809,0.020338983050847456,0.1644573912579226
31,454.9083734487558,87.17071632247276,459.0820789337158,0.9703264094955489,0.9166666666666666,0.022033898305084745,0.1916225803047178
33,408.04579837902173,101.25107619596206,394.7364807128906,0.9703264094955489,0.8809523809523809,0.01694915254237288,0.24813654888295875
34,515.8124551773071,127.49691010286158,537.7335548400879,0.8946587537091988,0.5952380952380952,0.06271186440677966,0.24717687373220826
35,432.1627304877764,67.27053159304513,430.4818630218506,0.9896142433234422,0.9642857142857143,0.006779661016949152,0.15566018734914455
36,522.6016739436558,102.09779819319441,528.730034828186,0.9554896142433235,0.8333333333333334,0.02711864406779661,0.19536446835836593
37,481.1601894002565,99.42406743730773,500.0340938568115,0.9599406528189911,0.8452380952380952,0.023728813559322035,0.20663402672867665
38,418.79233372064283,98.38502597019414,429.37893867492676,0.9896142433234422,0.9642857142857143,0.006779661016949152,0.23492556584338595
39,423.0845723833357,105.51119082151718,418.60504150390625,0.983679525222552,0.9166666666666666,0.006779661016949152,0.24938557846046625
41,496.34899139404297,118.4177746978212,512.9709243774414,0.9688427299703264,0.8928571428571429,0.020338983050847456,0.23857764748394816
42,425.63649050394696,120.96668236530628,424.26605224609375,0.956973293768546,0.8928571428571429,0.03389830508474576,0.2842018601884524
43,449.2037141179464,92.78281654521412,458.5761547088623,0.9940652818991098,0.9880952380952381,0.005084745762711864,0.20654953115737673
44,554.1757128455422,95.18167157470836,554.4884204864502,0.8813056379821959,0.5238095238095238,0.06779661016949153,0.17175359614006946
45,473.61005147298175,99.41817094700554,472.16291427612305,0.9747774480712166,0.8928571428571429,0.013559322033898305,0.20991566931023442
46,505.37437060300044,101.83329700293113,500.03647804260254,0.9436201780415431,0.8095238095238095,0.03728813559322034,0.20150071496784872
47,565.4537416273548,80.84739787630929,572.3159313201904,0.8308605341246291,0.36904761904761907,0.10338983050847457,0.14297791653767022
48,479.609633145267,110.67842466320069,500.03695487976074,0.9584569732937686,0.8690476190476191,0.0288135593220339,0.23076772653079247
49,511.83932026227313,130.53606401198496,563.6429786682129,0.9584569732937686,0.8571428571428571,0.02711864406779661,0.2550332865108851
50,477.15560965342064,83.59003487376766,477.93121337890625,0.9629080118694362,0.8690476190476191,0.023728813559322035,0.17518401373187842
51,401.03803536830804,113.0956259868847,405.24895191192627,0.973293768545994,0.9285714285714286,0.020338983050847456,0.2820072312667779
52,488.46393181727484,94.63857241227159,470.83611488342285,0.9762611275964391,0.9285714285714286,0.01694915254237288,0.19374730916196714
53,470.1719935936264,110.18465636491786,484.18898582458496,0.9792284866468842,0.9404761904761905,0.015254237288135594,0.2343496802579683
54,397.16072997001754,119.28221460441755,390.46998023986816,0.9658753709198813,0.8690476190476191,0.020338983050847456,0.3003373838431166
